Pallet,"Month, Year",Timestamp,Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),Expiration date (ex. 12/31/2024),Category,Notes,Pallet Number (Blueprints member will give this),Box Number (Blueprints member will give this)
,,1/19/2024 15:27:43,Plastic cup lids ,Dart,1000 lids,,Other,,11,1
,,1/19/2024 15:27:45,Lids ,Dart,1000,,Other,,11,3
,,1/19/2024 15:27:53,Cup lids ,Dart ,1000,,Other,Cup lids ,11,1
,,1/19/2024 15:28:47,Cups ,Dart ,1000,,Other,,11,6
,,1/19/2024 15:30:26,Cup lids ,Dart ,1000,,,,11,1
,,1/19/2024 15:30:47,Cup lids ,Dart ,1000,,Other,,11,7
,,1/19/2024 15:30:49,,Dart,1000,,Other,,11,5
,,1/19/2024 15:31:25,Cup lids ,Dart ,1000,,Other,,11,12
,,1/19/2024 15:32:24,Cup lids ,Dart ,1000,,Other,,11,14
,,1/19/2024 15:32:37,Prismaflex HF1400,Baxter ,4,8/31/2023,Other,,11,4
,,1/19/2024 15:32:42,Cups ,Dart ,1000,,Other,,11,15
,,1/19/2024 15:32:44,catheter,Biosense Webster,1,11/12/2023,Catheters/tubing,,14,13
,,1/19/2024 15:32:53,Styrofoam cups,Dart,1000,,Other,,11,8
,,1/19/2024 15:33:10,Cups ,Dart ,1000,,Other,,11,16
,,1/19/2024 15:35:20,Temperature Ablation Catheter,Boston Scientific,1,1/12/2024,Catheters/tubing,,11,18
,,1/19/2024 15:35:21,Safety Glide Needles,BD,40,1/21/2023,Syringe/needles,,11,17
,,1/19/2024 15:35:42,Cup lids with straw slot,Dart,1000,,Other,,11,17
,,1/19/2024 15:36:39,Pediatrix Oxygen Masks,Carefusion,3,7/23/2027,Other,,11,17
,,1/19/2024 15:36:46,,Biosense Webster,1,11/9/2023,Catheters/tubing,,11,12
,,1/19/2024 15:37:07,ChloraPrep Applicator,BD,3,,Diagnostic,No expiration date,17,11
,,1/19/2024 15:37:41,Dilatation Catheter ,Emerge,3,11/22/2023,Catheters/tubing,,14,17
,,1/19/2024 15:37:46,Blazer prime catheter,Boston Scientific,1,1/21/2024,Catheters/tubing,,14,9
,,1/19/2024 15:37:52,Needles,BD,88,3/31/2023,Syringe/needles,,11,13
,,1/19/2024 15:38:24,5mL Syringes,BD,20,,Syringe/needles,,11,17
,,1/19/2024 15:38:54,Large Adult Blood Pressure Cuff,Critikon,4,,,,11,17
,,1/19/2024 15:39:16,Guidewire,Argon,2,11/14/2023,Syringe/needles,,11,17
,,1/19/2024 15:39:38,Gravity Burette,BD,10,8/2/2026,Catheters/tubing,,11,19
,,1/19/2024 15:39:54,Vascular Closure Device,Essential Medical (Manta),5,1/20/2024,Other,,11,13
,,1/19/2024 15:39:55,Balloon Expandable Biliary Stent,Valeo,2,1/10/2024,Catheters/tubing,,11,13
,,1/19/2024 15:40:22,Surgical gloves,Medline,2,6/1/2022,Surgical,,11,17
,,1/19/2024 15:40:32,Forceps,Sklar,4,5/26/2024,Surgical,,11,17
,,1/19/2024 15:40:53,Cleaning enema bag ,Medi choice,3,,Bandages/gauze,,11,17
,,1/19/2024 15:41:23,Chloraprep 3mL applicator,BD,1,,Surgical,,11,17
,,1/19/2024 15:41:26,Diapers ,No manufacturer listed,2 packs,,Hygiene,Each pack has 25 diapers ,11,13
,,1/19/2024 15:41:56,Catheter valve,Medtronic,1,10/31/2023,Catheters/tubing,,11,10
,,1/19/2024 15:42:05,Safety glide needle,BD,5,10/31/2022,Syringe/needles,,11,17
,,1/19/2024 15:42:08,Infant REM Polyhesive,Covidien,3,12/7/2023,Other,,11,13
,,1/19/2024 15:42:17,Anaerobic Transport Mediums,Anaerobe Systems,30,6/13/2023,Syringe/needles,,11,17
,,1/19/2024 15:42:21,Tubes,No manufacturer listed,1,,Catheters/tubing,,11,13
,,1/19/2024 15:43:20,2XL Exam Gloves,Medline,2 boxes (160 total),2/1/2023,PPE,,11,13
,,1/19/2024 15:43:44,Tuning fork,No manufacturer listed,3,,Diagnostic,,11,17
,,1/19/2024 15:44:27,CVC Dressing Kit,Medline,1,4/30/2023,PPE,,11,13
,,1/19/2024 15:44:28,18G precisionglide needles,BD,90,4/30/2023,Syringe/needles,,11,13
,,1/19/2024 15:44:32,Coil expander,Cook Med,1,2/28/2028,Other,,11,17
,,1/19/2024 15:45:06,Adult diapers,Kingsystems,50,,Other,,11,21
,,1/19/2024 15:45:06,Gravity Burette Set,BD,10,,Catheters/tubing,,11,13
,,1/19/2024 15:45:25,Povidone-Iodine Swabstick,PDI,5,,Other,,11,17
,,1/19/2024 15:45:28,Lead clippers,Cook Med,1,9/30/2023,Surgical,,11,17
,,1/19/2024 15:45:36,27G precisionglide needles,BD,90,6/30/2023,Syringe/needles,,11,13
,,1/19/2024 15:45:51,MAYO scissors ,Sklar Sterile,1,2/17/2023,Surgical,,11,17
,,1/19/2024 15:46:19,Dura-cuf ,Critikon ,1,,Diagnostic,,11,13
,,1/19/2024 15:46:29,ECG electrode,ConMed,10,12/11/2024,Diagnostic,,11,22
,,1/19/2024 15:46:29,Baby diapers,Huggies,28,,Other,,11,21
,,1/19/2024 15:46:33,1ml Syringe ,BD,10,9/30/2028,Syringe/needles,,11,21
,,1/19/2024 15:47:14,BD safety glide needle,BD,26,9/30/2028,Syringe/needles,,11,21
,,1/19/2024 15:47:17,PCA administration kits ,BD,35,10/13/2025,PPE,,11,20
,,1/19/2024 15:47:17,Vacutainer,BD,2,10/31/2023,Syringe/needles,,11,13
,,1/19/2024 15:47:21,Endotracheal Tube,Halyard,2,11/29/2023,Catheters/tubing,,11,13
,,1/19/2024 15:47:25,Flexor Check-Flo Introducer,,1,1/4/2024,Catheters/tubing,,11,13
,,1/19/2024 15:48:04,nebulizer,hudson RCI,20,10/1/2023,Catheters/tubing,,11,21
,,1/19/2024 15:48:31,SafetyGlide Needle,BD,3,5/31/2023,Syringe/needles,,11,13
,,1/19/2024 15:49:11,Filter Needle,BD,2,8/31/2023,Syringe/needles,,11,13
,,1/19/2024 15:49:20,Surgical gloves,Medline,35,4/28/2026,PPE,,11,20
,,1/19/2024 15:49:31,Pediatric Bougie Endotracheal Tube Introducer,SunMed,1,7/6/2023,Catheters/tubing,,11,13
,,1/19/2024 15:49:40,Urological Catheter,Bard,2,3/31/2023,Catheters/tubing,,11,21
,,1/19/2024 15:49:52,Intubating Stylet,Novaplus,2,6/27/2028,Catheters/tubing,,11,13
,,1/19/2024 15:50:02,Hemodialysis fistula needle set,Finger shield ,250,2/28/2025,Syringe/needles,,11,18
,,1/19/2024 15:50:28,IV Catheter,Smiths Medical International ,1,9/30/2023,Syringe/needles,,11,13
,,1/19/2024 15:51:04,Gloves (XL),Med choice,650 (5 boxes),,Hygiene,,11,19
,,1/19/2024 15:51:10,Reflex hammer,No manufacturer listed,1,,Diagnostic,,11,13
,,1/19/2024 15:51:25,Syringe and Needle,Smiths Medical,1,3/20/2024,Syringe/needles,,11,13
,,1/19/2024 15:51:29,Gloves (S),Med choice ,130,,Hygiene,,11,19
,,1/19/2024 15:51:43,Color cuff,Stryker,1,8/28/2025,Diagnostic,,11,20
