Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),,,
Bear hugger,3M,10,,,
IV caps,3M,1,,,
Bair Hugger,3M,2,,,
3M curos caps,3M,10,,,
COFLEX NL,3M,3,,,
Steri-Strip (reinforced skin closures),3M,30,,,
Steri-strip (reinforced skin closures),3M,9,,,
Tegaderm +Pad,3M,1,,,
Transpore Tape,3M,3,,,
Medipore + pad,3M,1,,,
Micropore,3M,1,,,
Tegaderm 2x2,3M,30,,,
Tegaderm 4x4,3M,13,,,
Steri-Drape,3M,3,,,
Adherent Wrap,3M,1,,,
Medipore ,3M,1,,,
curos 70% IPA,3M,1,,,
Adhesive wound dressing,3M,18,,,
Steri Drape,3M,2,,,
soft cloth surgical tape,3M,1,,,
Tegaderm,3M,4,,,
Medipore +pad,3M,1,,,
surgical masks,3M,20,,,
Particulate Respirator,3M,50,,,
Skin and Nasal Antiseptic Swab,3M,12,,,
Antimicrobial Incise Drape,3M,8,,,
Surgical Tape,3M,1,,,
Steri strip,3M,1,,,
Steristrip,3M,1,,,
Skin and Nasal Antiseptic swabs,3M,4,,,
DuraPrep Surgical Solution,3M,1,,,
Steri strip,3M,5,,,
Tegaderm film,3M,7,,,
N95,3M,12,,,
no sting barrier film,3M,12,,,
Surgical Tape,3M,1,,,
Tegaderm,3M,1,,,
N95 masks,3M,20,,,
Tape,3M,3,,,
Film Dressing,3M,5,,,
500 ML Canister for Therapy Systems,3M,1,,,
Gauze ,3M,9,,,
Skin Closure,3M,1,,,
IV Sticker,3M,1,,,
Electrolyte Powder,Abbott,1,,,
Transseptal needle,Abott,1,,,
Assorted Lab Supply,ACM,30,,,
athletic supporter,Actimove,1,,,
Catheter adapter,Addto,,,,
Catheter Adapter,Addto,9,,,
Catheter adapter,Addto ,1,,,
Camera cover ,Advance,1,,,
Camera Cover,Advance,9,,,
Snap Kap,Advance,6,,,
Foot Boots,Aircast ,2,,,
Suction device,AirLife,50,,,
Bacterial Filter,AirLife,2,,,
Isothermal adult omniflex connector,AirLife,2,,,
Compression stockings ,Albahealth,1,,,
Ulta comfort covers,Allen,5,,,
Comfort covers,Allen,1,,,
Cotton Balls,Amazon,200,,,
anesthesia face masking ,Ambu,1,,,
Single use layngeal mask,Ambu,1,,,
Disposable anesthesia face mask,Ambu,2,,,
Anesthesia face mask pediatrics ,Ambu,2,,,
face mask,Ambu,1,,,
Ambu CO2 detector,Ambu,1,,,
Single use laryngeal mask ,Ambu,1,,,
Ambu Bag,Ambu,1,,,
CO2 detector,Ambu,1,,,
Face mask ,Ambu,4,,,
Laryngeal Mask,Ambu ,19,,,
CO2 detector pedi,Ambu ,1,,,
Disposable Hyperinflation System,Ambu ,1,,,
CO2 Detector,Ambu ,1,,,
Face Mask,Ambu ,1,,,
Reservoir set ,Amcor,1,,,
milk collection system (breast pump),Ameda,1,,,
Female Luer,AMT,8,,,
Nasal Tube,AMT,1,,,
nasal feeding tube with stylet,AMT,1,,,
nasal feeding tube,AMT,1,,,
Nasal Feeding Tube,AMT,4,,,
Anaerobic Transport Mediums,Anaerobe Systems,30,,,
Compound Benzoin Tincture Swabstick,Aplicare,4,,,
Female Luer Adaptor,Applied Medical Technology ,1,,,
AMT Mini Enteral Extension Set,Applied Medical Technology ,30,,,
Swab specimens collection kit ,Aptima,3,,,
Swab Specimen,Aptima,15,,,
unisex swab specimen collection kit for endocervical and Male Urethral swab specimens ,Aptima,80,,,
unisex swab specimen collection kit for endocervical and male urethral swab specimans ,Aptima,6,,,
